,RegionName,RegionID,SizeRank,Date,value
128,"San Antonio, TX",395055,26,2014-02,960
129,"Orlando, FL",394943,27,2014-02,1166
130,"Cincinnati, OH",394466,28,2014-02,935
131,"Cleveland, OH",394475,29,2014-02,925
132,"Kansas City, MO",394735,30,2014-02,887
133,"Las Vegas, NV",394775,31,2014-02,1007
134,"Columbus, OH",394492,32,2014-02,932
135,"Indianapolis, IN",394705,33,2014-02,956
136,"San Jose, CA",395059,34,2014-02,2197
137,"Austin, TX",394355,35,2014-02,1183
138,"Virginia Beach, VA",395194,36,2014-02,1151
139,"Nashville, TN",394902,37,2014-02,1131
140,"Providence, RI",395005,38,2014-02,1160
141,"Milwaukee, WI",394862,39,2014-02,940
142,"Jacksonville, FL",394714,40,2014-02,1074
143,"Memphis, TN",394849,41,2014-02,997
144,"Oklahoma City, OK",394935,42,2014-02,964
145,"Louisville-Jefferson County, KY",394807,43,2014-02,847
146,"Hartford, CT",394669,44,2014-02,1230
147,"Richmond, VA",395022,45,2014-02,1059
148,"New Orleans, LA",394910,46,2014-02,1080
149,"Buffalo, NY",394425,47,2014-02,789
150,"Raleigh, NC",395012,48,2014-02,1131
151,"Birmingham, AL",394388,49,2014-02,971
152,"Salt Lake City, UT",395053,50,2014-02,1025
153,"Rochester, NY",395031,51,2014-02,924
154,"Grand Rapids, MI",394640,52,2014-02,850
155,"Tucson, AZ",395167,53,2014-02,931
156,"Urban Honolulu, HI",753924,54,2014-02,1983
157,"Tulsa, OK",395169,55,2014-02,904
158,"Fresno, CA",394619,56,2014-02,1150
159,"Worcester, MA",395238,57,2014-02,1095
160,"Stamford, CT",394415,58,2014-02,1859
161,"Albuquerque, NM",394312,59,2014-02,926
162,"Albany, NY",394308,60,2014-02,1040
163,"Omaha, NE",394938,61,2014-02,827
164,"New Haven, CT",394908,62,2014-02,1278
165,"Bakersfield, CA",394357,63,2014-02,1005
166,"Knoxville, TN",394753,64,2014-02,931
167,"Greenville, SC",394653,65,2014-02,967
168,"Ventura, CA",394952,66,2014-02,1911
169,"Allentown, PA",394318,67,2014-02,1175
170,"El Paso, TX",394561,68,2014-02,979
171,"Baton Rouge, LA",394367,69,2014-02,1072
172,"Dayton, OH",394521,70,2014-02,808
173,"McAllen, TX",394843,71,2014-02,791
174,"Columbia, SC",394486,72,2014-02,952
175,"Greensboro, NC",394648,73,2014-02,953
176,"Akron, OH",394304,74,2014-02,784
177,"North Port-Sarasota-Bradenton, FL",753906,75,2014-02,1219
178,"Little Rock, AR",394798,76,2014-02,786
179,"Stockton, CA",395134,77,2014-02,1376
180,"Charleston, SC",394457,78,2014-02,1148
181,"Syracuse, NY",395143,79,2014-02,928
182,"Colorado Springs, CO",394484,80,2014-02,1038
183,"Winston-Salem, NC",395235,81,2014-02,1079
184,"Wichita, KS",395224,82,2014-02,731
185,"Springfield, MA",395115,83,2014-02,1226
186,"Fort Myers, FL",394440,84,2014-02,973
187,"Boise City, ID",394399,85,2014-02,951
188,"Toledo, OH",395160,86,2014-02,830
189,"Madison, WI",394816,87,2014-02,1028
190,"Lakeland, FL",394766,88,2014-02,1029
191,"Ogden, UT",394931,89,2014-02,952
192,"Daytona Beach, FL",394528,90,2014-02,992
193,"Des Moines, IA",394531,91,2014-02,998
194,"Jackson, MS",394711,92,2014-02,1087
195,"Youngstown, OH",395245,93,2014-02,619
196,"Augusta, GA",394352,94,2014-02,915
197,"Scranton, PA",395075,95,2014-02,835
198,"Harrisburg, PA",394666,96,2014-02,984
199,"Melbourne, FL",394957,97,2014-02,945
200,"Spokane, WA",395113,99,2014-02,939
201,"Provo, UT",395006,100,2014-02,1007
202,"Killeen, TX",394746,128,2014-02,861
203,"College Station, TX",394483,192,2014-02,1211
204,United States,102001,0,2014-03,1329
205,"New York, NY",394913,1,2014-03,4725
206,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-03,1771
207,"Chicago, IL",394463,3,2014-03,1413
208,"Dallas-Fort Worth, TX",394514,4,2014-03,1135
209,"Philadelphia, PA",394974,5,2014-03,1336
210,"Houston, TX",394692,6,2014-03,1174
211,"Washington, DC",395209,7,2014-03,1777
212,"Miami-Fort Lauderdale, FL",394856,8,2014-03,1578
213,"Atlanta, GA",394347,9,2014-03,1085
214,"Boston, MA",394404,10,2014-03,2165
215,"San Francisco, CA",395057,11,2014-03,2221
216,"Detroit, MI",394532,12,2014-03,969
217,"Riverside, CA",395025,13,2014-03,1435
218,"Phoenix, AZ",394976,14,2014-03,965
219,"Seattle, WA",395078,15,2014-03,1382
220,"Minneapolis-St Paul, MN",394865,16,2014-03,1187
221,"San Diego, CA",395056,17,2014-03,1721
222,"St. Louis, MO",395121,18,2014-03,912
223,"Tampa, FL",395148,19,2014-03,1115
224,"Baltimore, MD",394358,20,2014-03,1443
225,"Denver, CO",394530,21,2014-03,1220
226,"Pittsburgh, PA",394982,22,2014-03,1015
227,"Portland, OR",394998,23,2014-03,1155
228,"Charlotte, NC",394458,24,2014-03,1067
229,"Sacramento, CA",395045,25,2014-03,1279
230,"San Antonio, TX",395055,26,2014-03,962
231,"Orlando, FL",394943,27,2014-03,1170
232,"Cincinnati, OH",394466,28,2014-03,938
233,"Cleveland, OH",394475,29,2014-03,928
234,"Kansas City, MO",394735,30,2014-03,891
235,"Las Vegas, NV",394775,31,2014-03,1010
236,"Columbus, OH",394492,32,2014-03,934
237,"Indianapolis, IN",394705,33,2014-03,958
238,"San Jose, CA",395059,34,2014-03,2233
239,"Austin, TX",394355,35,2014-03,1188
240,"Virginia Beach, VA",395194,36,2014-03,1153
241,"Nashville, TN",394902,37,2014-03,1139
242,"Providence, RI",395005,38,2014-03,1163
243,"Milwaukee, WI",394862,39,2014-03,945
244,"Jacksonville, FL",394714,40,2014-03,1076
245,"Memphis, TN",394849,41,2014-03,999
246,"Oklahoma City, OK",394935,42,2014-03,967
247,"Louisville-Jefferson County, KY",394807,43,2014-03,851
248,"Hartford, CT",394669,44,2014-03,1233
249,"Richmond, VA",395022,45,2014-03,1063
250,"New Orleans, LA",394910,46,2014-03,1082
251,"Buffalo, NY",394425,47,2014-03,794
252,"Raleigh, NC",395012,48,2014-03,1133
253,"Birmingham, AL",394388,49,2014-03,973
254,"Salt Lake City, UT",395053,50,2014-03,1028
255,"Rochester, NY",395031,51,2014-03,928
256,"Grand Rapids, MI",394640,52,2014-03,856
257,"Tucson, AZ",395167,53,2014-03,932
258,"Urban Honolulu, HI",753924,54,2014-03,1999
259,"Tulsa, OK",395169,55,2014-03,906
260,"Fresno, CA",394619,56,2014-03,1153
261,"Worcester, MA",395238,57,2014-03,1099
262,"Stamford, CT",394415,58,2014-03,1870
263,"Albuquerque, NM",394312,59,2014-03,927
264,"Albany, NY",394308,60,2014-03,1045
265,"Omaha, NE",394938,61,2014-03,831
266,"New Haven, CT",394908,62,2014-03,1284
267,"Bakersfield, CA",394357,63,2014-03,1008
268,"Knoxville, TN",394753,64,2014-03,933
269,"Greenville, SC",394653,65,2014-03,966
270,"Ventura, CA",394952,66,2014-03,1919
271,"Allentown, PA",394318,67,2014-03,1177
272,"El Paso, TX",394561,68,2014-03,980
273,"Baton Rouge, LA",394367,69,2014-03,1073
274,"Dayton, OH",394521,70,2014-03,810
275,"McAllen, TX",394843,71,2014-03,
276,"Columbia, SC",394486,72,2014-03,954
277,"Greensboro, NC",394648,73,2014-03,954
278,"Akron, OH",394304,74,2014-03,787
279,"North Port-Sarasota-Bradenton, FL",753906,75,2014-03,1228
280,"Little Rock, AR",394798,76,2014-03,787
281,"Stockton, CA",395134,77,2014-03,1382
282,"Charleston, SC",394457,78,2014-03,1153
283,"Syracuse, NY",395143,79,2014-03,932
284,"Colorado Springs, CO",394484,80,2014-03,1042
285,"Winston-Salem, NC",395235,81,2014-03,1079
286,"Wichita, KS",395224,82,2014-03,735
287,"Springfield, MA",395115,83,2014-03,1229
288,"Fort Myers, FL",394440,84,2014-03,981
289,"Boise City, ID",394399,85,2014-03,955
290,"Toledo, OH",395160,86,2014-03,831
291,"Madison, WI",394816,87,2014-03,1029
292,"Lakeland, FL",394766,88,2014-03,1032
293,"Ogden, UT",394931,89,2014-03,955
294,"Daytona Beach, FL",394528,90,2014-03,997
295,"Des Moines, IA",394531,91,2014-03,1002
296,"Jackson, MS",394711,92,2014-03,1089
297,"Youngstown, OH",395245,93,2014-03,620
298,"Augusta, GA",394352,94,2014-03,914
299,"Scranton, PA",395075,95,2014-03,836
300,"Harrisburg, PA",394666,96,2014-03,981
301,"Melbourne, FL",394957,97,2014-03,949
302,"Spokane, WA",395113,99,2014-03,935
303,"Provo, UT",395006,100,2014-03,1012
304,"Killeen, TX",394746,128,2014-03,862
305,"College Station, TX",394483,192,2014-03,1217
306,United States,102001,0,2014-04,1334
307,"New York, NY",394913,1,2014-04,4746
308,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2014-04,1782
309,"Chicago, IL",394463,3,2014-04,1416
310,"Dallas-Fort Worth, TX",394514,4,2014-04,1138
311,"Philadelphia, PA",394974,5,2014-04,1339
312,"Houston, TX",394692,6,2014-04,1181
313,"Washington, DC",395209,7,2014-04,1780
314,"Miami-Fort Lauderdale, FL",394856,8,2014-04,1586
315,"Atlanta, GA",394347,9,2014-04,1089
316,"Boston, MA",394404,10,2014-04,2171
317,"San Francisco, CA",395057,11,2014-04,2254
318,"Detroit, MI",394532,12,2014-04,971
319,"Riverside, CA",395025,13,2014-04,1440
320,"Phoenix, AZ",394976,14,2014-04,969
321,"Seattle, WA",395078,15,2014-04,1392
322,"Minneapolis-St Paul, MN",394865,16,2014-04,1190
323,"San Diego, CA",395056,17,2014-04,1731
324,"St. Louis, MO",395121,18,2014-04,915
325,"Tampa, FL",395148,19,2014-04,1118
326,"Baltimore, MD",394358,20,2014-04,1446
327,"Denver, CO",394530,21,2014-04,1235
328,"Pittsburgh, PA",394982,22,2014-04,1020
329,"Portland, OR",394998,23,2014-04,1164
330,"Charlotte, NC",394458,24,2014-04,1071
331,"Sacramento, CA",395045,25,2014-04,1284
332,"San Antonio, TX",395055,26,2014-04,965
333,"Orlando, FL",394943,27,2014-04,1175
334,"Cincinnati, OH",394466,28,2014-04,942
335,"Cleveland, OH",394475,29,2014-04,931
336,"Kansas City, MO",394735,30,2014-04,894
337,"Las Vegas, NV",394775,31,2014-04,1012
338,"Columbus, OH",394492,32,2014-04,936
339,"Indianapolis, IN",394705,33,2014-04,960
340,"San Jose, CA",395059,34,2014-04,2268
341,"Austin, TX",394355,35,2014-04,1194
342,"Virginia Beach, VA",395194,36,2014-04,1155
343,"Nashville, TN",394902,37,2014-04,1147
344,"Providence, RI",395005,38,2014-04,1166
345,"Milwaukee, WI",394862,39,2014-04,950
346,"Jacksonville, FL",394714,40,2014-04,1078
347,"Memphis, TN",394849,41,2014-04,1002
348,"Oklahoma City, OK",394935,42,2014-04,970
349,"Louisville-Jefferson County, KY",394807,43,2014-04,855
350,"Hartford, CT",394669,44,2014-04,1236
351,"Richmond, VA",395022,45,2014-04,1067
352,"New Orleans, LA",394910,46,2014-04,1083
353,"Buffalo, NY",394425,47,2014-04,798
354,"Raleigh, NC",395012,48,2014-04,1136
355,"Birmingham, AL",394388,49,2014-04,975
356,"Salt Lake City, UT",395053,50,2014-04,1032
357,"Rochester, NY",395031,51,2014-04,932
358,"Grand Rapids, MI",394640,52,2014-04,863
359,"Tucson, AZ",395167,53,2014-04,933
360,"Urban Honolulu, HI",753924,54,2014-04,2015
361,"Tulsa, OK",395169,55,2014-04,908
362,"Fresno, CA",394619,56,2014-04,1156
363,"Worcester, MA",395238,57,2014-04,1103
364,"Stamford, CT",394415,58,2014-04,1881
365,"Albuquerque, NM",394312,59,2014-04,928
366,"Albany, NY",394308,60,2014-04,1049
367,"Omaha, NE",394938,61,2014-04,835
368,"New Haven, CT",394908,62,2014-04,1289
369,"Bakersfield, CA",394357,63,2014-04,1012
