,RegionName,RegionID,SizeRank,Date,value
2349,"Chicago, IL",394463,3,2015-12,1493
2350,"Dallas-Fort Worth, TX",394514,4,2015-12,1223
2351,"Philadelphia, PA",394974,5,2015-12,1401
2352,"Houston, TX",394692,6,2015-12,1265
2353,"Washington, DC",395209,7,2015-12,1831
2354,"Miami-Fort Lauderdale, FL",394856,8,2015-12,1739
2355,"Atlanta, GA",394347,9,2015-12,1183
2356,"Boston, MA",394404,10,2015-12,2304
2357,"San Francisco, CA",395057,11,2015-12,2777
2358,"Detroit, MI",394532,12,2015-12,1023
2359,"Riverside, CA",395025,13,2015-12,1554
2360,"Phoenix, AZ",394976,14,2015-12,1062
2361,"Seattle, WA",395078,15,2015-12,1580
2362,"Minneapolis-St Paul, MN",394865,16,2015-12,1263
2363,"San Diego, CA",395056,17,2015-12,1915
2364,"St. Louis, MO",395121,18,2015-12,961
2365,"Tampa, FL",395148,19,2015-12,1212
2366,"Baltimore, MD",394358,20,2015-12,1491
2367,"Denver, CO",394530,21,2015-12,1457
2368,"Pittsburgh, PA",394982,22,2015-12,1069
2369,"Portland, OR",394998,23,2015-12,1363
2370,"Charlotte, NC",394458,24,2015-12,1162
2371,"Sacramento, CA",395045,25,2015-12,1428
2372,"San Antonio, TX",395055,26,2015-12,1030
2373,"Orlando, FL",394943,27,2015-12,1273
2374,"Cincinnati, OH",394466,28,2015-12,1008
2375,"Cleveland, OH",394475,29,2015-12,995
2376,"Kansas City, MO",394735,30,2015-12,955
2377,"Las Vegas, NV",394775,31,2015-12,1077
2378,"Columbus, OH",394492,32,2015-12,1001
2379,"Indianapolis, IN",394705,33,2015-12,1006
2380,"San Jose, CA",395059,34,2015-12,2783
2381,"Austin, TX",394355,35,2015-12,1295
2382,"Virginia Beach, VA",395194,36,2015-12,1184
2383,"Nashville, TN",394902,37,2015-12,1282
2384,"Providence, RI",395005,38,2015-12,1248
2385,"Milwaukee, WI",394862,39,2015-12,1003
2386,"Jacksonville, FL",394714,40,2015-12,1131
2387,"Memphis, TN",394849,41,2015-12,1035
2388,"Oklahoma City, OK",394935,42,2015-12,1007
2389,"Louisville-Jefferson County, KY",394807,43,2015-12,910
2390,"Hartford, CT",394669,44,2015-12,1284
2391,"Richmond, VA",395022,45,2015-12,1127
2392,"New Orleans, LA",394910,46,2015-12,1123
2393,"Buffalo, NY",394425,47,2015-12,871
2394,"Raleigh, NC",395012,48,2015-12,1204
2395,"Birmingham, AL",394388,49,2015-12,1015
2396,"Salt Lake City, UT",395053,50,2015-12,1110
2397,"Rochester, NY",395031,51,2015-12,993
2398,"Grand Rapids, MI",394640,52,2015-12,989
2399,"Tucson, AZ",395167,53,2015-12,964
2400,"Urban Honolulu, HI",753924,54,2015-12,2212
2401,"Tulsa, OK",395169,55,2015-12,937
2402,"Fresno, CA",394619,56,2015-12,1216
2403,"Worcester, MA",395238,57,2015-12,1187
2404,"Stamford, CT",394415,58,2015-12,1999
2405,"Albuquerque, NM",394312,59,2015-12,964
2406,"Albany, NY",394308,60,2015-12,1100
2407,"Omaha, NE",394938,61,2015-12,896
2408,"New Haven, CT",394908,62,2015-12,1359
2409,"Bakersfield, CA",394357,63,2015-12,1058
2410,"Knoxville, TN",394753,64,2015-12,974
2411,"Greenville, SC",394653,65,2015-12,1011
2412,"Ventura, CA",394952,66,2015-12,2093
2413,"Allentown, PA",394318,67,2015-12,1223
2414,"El Paso, TX",394561,68,2015-12,986
2415,"Baton Rouge, LA",394367,69,2015-12,1109
2416,"Dayton, OH",394521,70,2015-12,855
2417,"McAllen, TX",394843,71,2015-12,827
2418,"Columbia, SC",394486,72,2015-12,992
2419,"Greensboro, NC",394648,73,2015-12,983
2420,"Akron, OH",394304,74,2015-12,843
2421,"North Port-Sarasota-Bradenton, FL",753906,75,2015-12,1385
2422,"Little Rock, AR",394798,76,2015-12,804
2423,"Stockton, CA",395134,77,2015-12,1561
2424,"Charleston, SC",394457,78,2015-12,1252
2425,"Syracuse, NY",395143,79,2015-12,1002
2426,"Colorado Springs, CO",394484,80,2015-12,1143
2427,"Winston-Salem, NC",395235,81,2015-12,1113
2428,"Wichita, KS",395224,82,2015-12,767
2429,"Springfield, MA",395115,83,2015-12,1294
2430,"Fort Myers, FL",394440,84,2015-12,1181
2431,"Boise City, ID",394399,85,2015-12,1050
2432,"Toledo, OH",395160,86,2015-12,860
2433,"Madison, WI",394816,87,2015-12,1090
2434,"Lakeland, FL",394766,88,2015-12,1105
2435,"Ogden, UT",394931,89,2015-12,1028
2436,"Daytona Beach, FL",394528,90,2015-12,1115
2437,"Des Moines, IA",394531,91,2015-12,1034
2438,"Jackson, MS",394711,92,2015-12,1130
2439,"Youngstown, OH",395245,93,2015-12,636
2440,"Augusta, GA",394352,94,2015-12,934
2441,"Scranton, PA",395075,95,2015-12,856
2442,"Harrisburg, PA",394666,96,2015-12,991
2443,"Melbourne, FL",394957,97,2015-12,1077
2444,"Spokane, WA",395113,99,2015-12,968
2445,"Provo, UT",395006,100,2015-12,1103
2446,"Killeen, TX",394746,128,2015-12,883
2447,"College Station, TX",394483,192,2015-12,1341
2448,United States,102001,0,2016-01,1445
2449,"New York, NY",394913,1,2016-01,5119
2450,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2016-01,2003
2451,"Chicago, IL",394463,3,2016-01,1498
2452,"Dallas-Fort Worth, TX",394514,4,2016-01,1228
2453,"Philadelphia, PA",394974,5,2016-01,1404
2454,"Houston, TX",394692,6,2016-01,1266
2455,"Washington, DC",395209,7,2016-01,1834
2456,"Miami-Fort Lauderdale, FL",394856,8,2016-01,1745
2457,"Atlanta, GA",394347,9,2016-01,1189
2458,"Boston, MA",394404,10,2016-01,2312
2459,"San Francisco, CA",395057,11,2016-01,2792
2460,"Detroit, MI",394532,12,2016-01,1025
2461,"Riverside, CA",395025,13,2016-01,1560
2462,"Phoenix, AZ",394976,14,2016-01,1067
2463,"Seattle, WA",395078,15,2016-01,1590
2464,"Minneapolis-St Paul, MN",394865,16,2016-01,1267
2465,"San Diego, CA",395056,17,2016-01,1924
2466,"St. Louis, MO",395121,18,2016-01,963
2467,"Tampa, FL",395148,19,2016-01,1217
2468,"Baltimore, MD",394358,20,2016-01,1493
2469,"Denver, CO",394530,21,2016-01,1463
2470,"Pittsburgh, PA",394982,22,2016-01,1071
2471,"Portland, OR",394998,23,2016-01,1373
2472,"Charlotte, NC",394458,24,2016-01,1167
2473,"Sacramento, CA",395045,25,2016-01,1437
2474,"San Antonio, TX",395055,26,2016-01,1033
2475,"Orlando, FL",394943,27,2016-01,1278
2476,"Cincinnati, OH",394466,28,2016-01,1011
2477,"Cleveland, OH",394475,29,2016-01,998
2478,"Kansas City, MO",394735,30,2016-01,958
2479,"Las Vegas, NV",394775,31,2016-01,1081
2480,"Columbus, OH",394492,32,2016-01,1005
2481,"Indianapolis, IN",394705,33,2016-01,1009
2482,"San Jose, CA",395059,34,2016-01,2795
2483,"Austin, TX",394355,35,2016-01,1299
2484,"Virginia Beach, VA",395194,36,2016-01,1185
2485,"Nashville, TN",394902,37,2016-01,1289
2486,"Providence, RI",395005,38,2016-01,1253
2487,"Milwaukee, WI",394862,39,2016-01,1005
2488,"Jacksonville, FL",394714,40,2016-01,1135
2489,"Memphis, TN",394849,41,2016-01,1037
2490,"Oklahoma City, OK",394935,42,2016-01,1007
2491,"Louisville-Jefferson County, KY",394807,43,2016-01,912
2492,"Hartford, CT",394669,44,2016-01,1285
2493,"Richmond, VA",395022,45,2016-01,1130
2494,"New Orleans, LA",394910,46,2016-01,1124
2495,"Buffalo, NY",394425,47,2016-01,874
2496,"Raleigh, NC",395012,48,2016-01,1208
2497,"Birmingham, AL",394388,49,2016-01,1017
2498,"Salt Lake City, UT",395053,50,2016-01,1115
2499,"Rochester, NY",395031,51,2016-01,995
2500,"Grand Rapids, MI",394640,52,2016-01,997
2501,"Tucson, AZ",395167,53,2016-01,966
2502,"Urban Honolulu, HI",753924,54,2016-01,2216
2503,"Tulsa, OK",395169,55,2016-01,938
2504,"Fresno, CA",394619,56,2016-01,1220
2505,"Worcester, MA",395238,57,2016-01,1192
2506,"Stamford, CT",394415,58,2016-01,2002
2507,"Albuquerque, NM",394312,59,2016-01,966
2508,"Albany, NY",394308,60,2016-01,1102
2509,"Omaha, NE",394938,61,2016-01,898
2510,"New Haven, CT",394908,62,2016-01,1362
2511,"Bakersfield, CA",394357,63,2016-01,1059
2512,"Knoxville, TN",394753,64,2016-01,976
2513,"Greenville, SC",394653,65,2016-01,1016
2514,"Ventura, CA",394952,66,2016-01,2100
2515,"Allentown, PA",394318,67,2016-01,1225
2516,"El Paso, TX",394561,68,2016-01,987
2517,"Baton Rouge, LA",394367,69,2016-01,1111
2518,"Dayton, OH",394521,70,2016-01,858
2519,"McAllen, TX",394843,71,2016-01,828
2520,"Columbia, SC",394486,72,2016-01,994
2521,"Greensboro, NC",394648,73,2016-01,984
2522,"Akron, OH",394304,74,2016-01,845
2523,"North Port-Sarasota-Bradenton, FL",753906,75,2016-01,1390
2524,"Little Rock, AR",394798,76,2016-01,805
2525,"Stockton, CA",395134,77,2016-01,1571
2526,"Charleston, SC",394457,78,2016-01,1257
2527,"Syracuse, NY",395143,79,2016-01,1005
2528,"Colorado Springs, CO",394484,80,2016-01,1149
2529,"Winston-Salem, NC",395235,81,2016-01,1116
2530,"Wichita, KS",395224,82,2016-01,768
2531,"Springfield, MA",395115,83,2016-01,1298
2532,"Fort Myers, FL",394440,84,2016-01,1189
2533,"Boise City, ID",394399,85,2016-01,1056
2534,"Toledo, OH",395160,86,2016-01,861
2535,"Madison, WI",394816,87,2016-01,1093
2536,"Lakeland, FL",394766,88,2016-01,1109
2537,"Ogden, UT",394931,89,2016-01,1032
2538,"Daytona Beach, FL",394528,90,2016-01,1121
2539,"Des Moines, IA",394531,91,2016-01,1034
2540,"Jackson, MS",394711,92,2016-01,1133
2541,"Youngstown, OH",395245,93,2016-01,637
2542,"Augusta, GA",394352,94,2016-01,936
2543,"Scranton, PA",395075,95,2016-01,858
2544,"Harrisburg, PA",394666,96,2016-01,993
2545,"Melbourne, FL",394957,97,2016-01,1084
2546,"Spokane, WA",395113,99,2016-01,972
2547,"Provo, UT",395006,100,2016-01,1108
2548,"Killeen, TX",394746,128,2016-01,883
2549,"College Station, TX",394483,192,2016-01,1345
2550,United States,102001,0,2016-02,1450
2551,"New York, NY",394913,1,2016-02,5128
2552,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2016-02,2013
2553,"Chicago, IL",394463,3,2016-02,1502
2554,"Dallas-Fort Worth, TX",394514,4,2016-02,1233
2555,"Philadelphia, PA",394974,5,2016-02,1407
2556,"Houston, TX",394692,6,2016-02,1266
2557,"Washington, DC",395209,7,2016-02,1836
2558,"Miami-Fort Lauderdale, FL",394856,8,2016-02,1750
2559,"Atlanta, GA",394347,9,2016-02,1195
2560,"Boston, MA",394404,10,2016-02,2319
2561,"San Francisco, CA",395057,11,2016-02,2802
2562,"Detroit, MI",394532,12,2016-02,1028
2563,"Riverside, CA",395025,13,2016-02,1567
2564,"Phoenix, AZ",394976,14,2016-02,1072
2565,"Seattle, WA",395078,15,2016-02,1600
2566,"Minneapolis-St Paul, MN",394865,16,2016-02,1272
2567,"San Diego, CA",395056,17,2016-02,1933
2568,"St. Louis, MO",395121,18,2016-02,965
2569,"Tampa, FL",395148,19,2016-02,1222
2570,"Baltimore, MD",394358,20,2016-02,1494
2571,"Denver, CO",394530,21,2016-02,1469
2572,"Pittsburgh, PA",394982,22,2016-02,1071
2573,"Portland, OR",394998,23,2016-02,1380
2574,"Charlotte, NC",394458,24,2016-02,1172
2575,"Sacramento, CA",395045,25,2016-02,1447
2576,"San Antonio, TX",395055,26,2016-02,1036
2577,"Orlando, FL",394943,27,2016-02,1284
2578,"Cincinnati, OH",394466,28,2016-02,1014
2579,"Cleveland, OH",394475,29,2016-02,1002
2580,"Kansas City, MO",394735,30,2016-02,961
2581,"Las Vegas, NV",394775,31,2016-02,1085
2582,"Columbus, OH",394492,32,2016-02,1007
2583,"Indianapolis, IN",394705,33,2016-02,1012
2584,"San Jose, CA",395059,34,2016-02,2800
2585,"Austin, TX",394355,35,2016-02,1302
2586,"Virginia Beach, VA",395194,36,2016-02,1186
2587,"Nashville, TN",394902,37,2016-02,1295
2588,"Providence, RI",395005,38,2016-02,1257
2589,"Milwaukee, WI",394862,39,2016-02,1006
2590,"Jacksonville, FL",394714,40,2016-02,1138
2591,"Memphis, TN",394849,41,2016-02,1039
2592,"Oklahoma City, OK",394935,42,2016-02,1007
2593,"Louisville-Jefferson County, KY",394807,43,2016-02,915
2594,"Hartford, CT",394669,44,2016-02,1287
2595,"Richmond, VA",395022,45,2016-02,1133
2596,"New Orleans, LA",394910,46,2016-02,1125
2597,"Buffalo, NY",394425,47,2016-02,876
2598,"Raleigh, NC",395012,48,2016-02,1211
2599,"Birmingham, AL",394388,49,2016-02,1019
2600,"Salt Lake City, UT",395053,50,2016-02,1119
2601,"Rochester, NY",395031,51,2016-02,998
2602,"Grand Rapids, MI",394640,52,2016-02,1004
2603,"Tucson, AZ",395167,53,2016-02,969
2604,"Urban Honolulu, HI",753924,54,2016-02,2219
2605,"Tulsa, OK",395169,55,2016-02,939
2606,"Fresno, CA",394619,56,2016-02,1224
2607,"Worcester, MA",395238,57,2016-02,1197
2608,"Stamford, CT",394415,58,2016-02,2004
2609,"Albuquerque, NM",394312,59,2016-02,968
2610,"Albany, NY",394308,60,2016-02,1105
2611,"Omaha, NE",394938,61,2016-02,901
2612,"New Haven, CT",394908,62,2016-02,1364
2613,"Bakersfield, CA",394357,63,2016-02,1061
2614,"Knoxville, TN",394753,64,2016-02,980
2615,"Greenville, SC",394653,65,2016-02,1019
2616,"Ventura, CA",394952,66,2016-02,2109
2617,"Allentown, PA",394318,67,2016-02,1228
2618,"El Paso, TX",394561,68,2016-02,987
2619,"Baton Rouge, LA",394367,69,2016-02,1115
2620,"Dayton, OH",394521,70,2016-02,861
2621,"McAllen, TX",394843,71,2016-02,829
2622,"Columbia, SC",394486,72,2016-02,996
2623,"Greensboro, NC",394648,73,2016-02,986
2624,"Akron, OH",394304,74,2016-02,846
2625,"North Port-Sarasota-Bradenton, FL",753906,75,2016-02,1394
2626,"Little Rock, AR",394798,76,2016-02,805
2627,"Stockton, CA",395134,77,2016-02,1581
2628,"Charleston, SC",394457,78,2016-02,1262
2629,"Syracuse, NY",395143,79,2016-02,1007
2630,"Colorado Springs, CO",394484,80,2016-02,1156
2631,"Winston-Salem, NC",395235,81,2016-02,1118
2632,"Wichita, KS",395224,82,2016-02,769
2633,"Springfield, MA",395115,83,2016-02,1302
2634,"Fort Myers, FL",394440,84,2016-02,1195
2635,"Boise City, ID",394399,85,2016-02,1062
2636,"Toledo, OH",395160,86,2016-02,864
2637,"Madison, WI",394816,87,2016-02,1096
2638,"Lakeland, FL",394766,88,2016-02,1114
2639,"Ogden, UT",394931,89,2016-02,1036
2640,"Daytona Beach, FL",394528,90,2016-02,1128
2641,"Des Moines, IA",394531,91,2016-02,1035
2642,"Jackson, MS",394711,92,2016-02,1135
2643,"Youngstown, OH",395245,93,2016-02,638
2644,"Augusta, GA",394352,94,2016-02,937
2645,"Scranton, PA",395075,95,2016-02,860
2646,"Harrisburg, PA",394666,96,2016-02,995
2647,"Melbourne, FL",394957,97,2016-02,1091
2648,"Spokane, WA",395113,99,2016-02,976
2649,"Provo, UT",395006,100,2016-02,1113
2650,"Killeen, TX",394746,128,2016-02,884
2651,"College Station, TX",394483,192,2016-02,1347
2652,United States,102001,0,2016-03,1454
2653,"New York, NY",394913,1,2016-03,5137
2654,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2016-03,2023
2655,"Chicago, IL",394463,3,2016-03,1505
2656,"Dallas-Fort Worth, TX",394514,4,2016-03,1239
2657,"Philadelphia, PA",394974,5,2016-03,1411
2658,"Houston, TX",394692,6,2016-03,1267
2659,"Washington, DC",395209,7,2016-03,1839
2660,"Miami-Fort Lauderdale, FL",394856,8,2016-03,1755
2661,"Atlanta, GA",394347,9,2016-03,1201
2662,"Boston, MA",394404,10,2016-03,2327
2663,"San Francisco, CA",395057,11,2016-03,2812
2664,"Detroit, MI",394532,12,2016-03,1031
2665,"Riverside, CA",395025,13,2016-03,1573
2666,"Phoenix, AZ",394976,14,2016-03,1077
2667,"Seattle, WA",395078,15,2016-03,1610
2668,"Minneapolis-St Paul, MN",394865,16,2016-03,1276
2669,"San Diego, CA",395056,17,2016-03,1942
2670,"St. Louis, MO",395121,18,2016-03,967
2671,"Tampa, FL",395148,19,2016-03,1227
2672,"Baltimore, MD",394358,20,2016-03,1494
2673,"Denver, CO",394530,21,2016-03,1474
2674,"Pittsburgh, PA",394982,22,2016-03,1072
2675,"Portland, OR",394998,23,2016-03,1387
2676,"Charlotte, NC",394458,24,2016-03,1177
2677,"Sacramento, CA",395045,25,2016-03,1456
2678,"San Antonio, TX",395055,26,2016-03,1039
2679,"Orlando, FL",394943,27,2016-03,1289
2680,"Cincinnati, OH",394466,28,2016-03,1016
2681,"Cleveland, OH",394475,29,2016-03,1005
2682,"Kansas City, MO",394735,30,2016-03,964
2683,"Las Vegas, NV",394775,31,2016-03,1089
2684,"Columbus, OH",394492,32,2016-03,1010
2685,"Indianapolis, IN",394705,33,2016-03,1014
2686,"San Jose, CA",395059,34,2016-03,2805
2687,"Austin, TX",394355,35,2016-03,1305
2688,"Virginia Beach, VA",395194,36,2016-03,1187
2689,"Nashville, TN",394902,37,2016-03,1300
2690,"Providence, RI",395005,38,2016-03,1262
2691,"Milwaukee, WI",394862,39,2016-03,1008
2692,"Jacksonville, FL",394714,40,2016-03,1142
2693,"Memphis, TN",394849,41,2016-03,1041
2694,"Oklahoma City, OK",394935,42,2016-03,1007
2695,"Louisville-Jefferson County, KY",394807,43,2016-03,919
2696,"Hartford, CT",394669,44,2016-03,1289
2697,"Richmond, VA",395022,45,2016-03,1135
2698,"New Orleans, LA",394910,46,2016-03,1126
2699,"Buffalo, NY",394425,47,2016-03,878
2700,"Raleigh, NC",395012,48,2016-03,1215
2701,"Birmingham, AL",394388,49,2016-03,1020
2702,"Salt Lake City, UT",395053,50,2016-03,1124
2703,"Rochester, NY",395031,51,2016-03,999
2704,"Grand Rapids, MI",394640,52,2016-03,1011
2705,"Tucson, AZ",395167,53,2016-03,971
2706,"Urban Honolulu, HI",753924,54,2016-03,2222
2707,"Tulsa, OK",395169,55,2016-03,939
2708,"Fresno, CA",394619,56,2016-03,1229
2709,"Worcester, MA",395238,57,2016-03,1202
2710,"Stamford, CT",394415,58,2016-03,2006
2711,"Albuquerque, NM",394312,59,2016-03,971
2712,"Albany, NY",394308,60,2016-03,1108
2713,"Omaha, NE",394938,61,2016-03,903
2714,"New Haven, CT",394908,62,2016-03,1367
2715,"Bakersfield, CA",394357,63,2016-03,1063
2716,"Knoxville, TN",394753,64,2016-03,983
2717,"Greenville, SC",394653,65,2016-03,1023
2718,"Ventura, CA",394952,66,2016-03,2117
2719,"Allentown, PA",394318,67,2016-03,1231
2720,"El Paso, TX",394561,68,2016-03,987
2721,"Baton Rouge, LA",394367,69,2016-03,1118
2722,"Dayton, OH",394521,70,2016-03,863
2723,"McAllen, TX",394843,71,2016-03,830
2724,"Columbia, SC",394486,72,2016-03,998
2725,"Greensboro, NC",394648,73,2016-03,987
2726,"Akron, OH",394304,74,2016-03,848
2727,"North Port-Sarasota-Bradenton, FL",753906,75,2016-03,1398
2728,"Little Rock, AR",394798,76,2016-03,806
2729,"Stockton, CA",395134,77,2016-03,1592
2730,"Charleston, SC",394457,78,2016-03,1268
2731,"Syracuse, NY",395143,79,2016-03,1009
2732,"Colorado Springs, CO",394484,80,2016-03,1163
2733,"Winston-Salem, NC",395235,81,2016-03,1120
2734,"Wichita, KS",395224,82,2016-03,770
2735,"Springfield, MA",395115,83,2016-03,1306
2736,"Fort Myers, FL",394440,84,2016-03,1201
2737,"Boise City, ID",394399,85,2016-03,1068
2738,"Toledo, OH",395160,86,2016-03,866
2739,"Madison, WI",394816,87,2016-03,1098
2740,"Lakeland, FL",394766,88,2016-03,1119
2741,"Ogden, UT",394931,89,2016-03,1041
2742,"Daytona Beach, FL",394528,90,2016-03,1134
2743,"Des Moines, IA",394531,91,2016-03,1036
2744,"Jackson, MS",394711,92,2016-03,1138
2745,"Youngstown, OH",395245,93,2016-03,640
2746,"Augusta, GA",394352,94,2016-03,939
2747,"Scranton, PA",395075,95,2016-03,861
2748,"Harrisburg, PA",394666,96,2016-03,998
2749,"Melbourne, FL",394957,97,2016-03,1097
2750,"Spokane, WA",395113,99,2016-03,980
2751,"Provo, UT",395006,100,2016-03,1119
2752,"Killeen, TX",394746,128,2016-03,885
2753,"College Station, TX",394483,192,2016-03,1350
2754,United States,102001,0,2016-04,1459
2755,"New York, NY",394913,1,2016-04,5146
2756,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2016-04,2033
2757,"Chicago, IL",394463,3,2016-04,1509
2758,"Dallas-Fort Worth, TX",394514,4,2016-04,1244
2759,"Philadelphia, PA",394974,5,2016-04,1414
2760,"Houston, TX",394692,6,2016-04,1267
2761,"Washington, DC",395209,7,2016-04,1841
2762,"Miami-Fort Lauderdale, FL",394856,8,2016-04,1759
2763,"Atlanta, GA",394347,9,2016-04,1207
2764,"Boston, MA",394404,10,2016-04,2335
2765,"San Francisco, CA",395057,11,2016-04,2822
2766,"Detroit, MI",394532,12,2016-04,1035
2767,"Riverside, CA",395025,13,2016-04,1579
2768,"Phoenix, AZ",394976,14,2016-04,1082
2769,"Seattle, WA",395078,15,2016-04,1620
2770,"Minneapolis-St Paul, MN",394865,16,2016-04,1280
2771,"San Diego, CA",395056,17,2016-04,1952
2772,"St. Louis, MO",395121,18,2016-04,969
2773,"Tampa, FL",395148,19,2016-04,1232
2774,"Baltimore, MD",394358,20,2016-04,1495
2775,"Denver, CO",394530,21,2016-04,1479
2776,"Pittsburgh, PA",394982,22,2016-04,1073
2777,"Portland, OR",394998,23,2016-04,1395
2778,"Charlotte, NC",394458,24,2016-04,1182
2779,"Sacramento, CA",395045,25,2016-04,1465
2780,"San Antonio, TX",395055,26,2016-04,1041
2781,"Orlando, FL",394943,27,2016-04,1294
2782,"Cincinnati, OH",394466,28,2016-04,1019
2783,"Cleveland, OH",394475,29,2016-04,1009
2784,"Kansas City, MO",394735,30,2016-04,967
2785,"Las Vegas, NV",394775,31,2016-04,1093
2786,"Columbus, OH",394492,32,2016-04,1013
2787,"Indianapolis, IN",394705,33,2016-04,1017
2788,"San Jose, CA",395059,34,2016-04,2810
2789,"Austin, TX",394355,35,2016-04,1309
2790,"Virginia Beach, VA",395194,36,2016-04,1188
2791,"Nashville, TN",394902,37,2016-04,1306
2792,"Providence, RI",395005,38,2016-04,1267
2793,"Milwaukee, WI",394862,39,2016-04,1009
2794,"Jacksonville, FL",394714,40,2016-04,1145
2795,"Memphis, TN",394849,41,2016-04,1043
2796,"Oklahoma City, OK",394935,42,2016-04,1006
2797,"Louisville-Jefferson County, KY",394807,43,2016-04,922
2798,"Hartford, CT",394669,44,2016-04,1291
2799,"Richmond, VA",395022,45,2016-04,1137
2800,"New Orleans, LA",394910,46,2016-04,1127
2801,"Buffalo, NY",394425,47,2016-04,881
2802,"Raleigh, NC",395012,48,2016-04,1218
2803,"Birmingham, AL",394388,49,2016-04,1022
2804,"Salt Lake City, UT",395053,50,2016-04,1129
2805,"Rochester, NY",395031,51,2016-04,1001
2806,"Grand Rapids, MI",394640,52,2016-04,1018
2807,"Tucson, AZ",395167,53,2016-04,974
2808,"Urban Honolulu, HI",753924,54,2016-04,2225
2809,"Tulsa, OK",395169,55,2016-04,940
2810,"Fresno, CA",394619,56,2016-04,1233
2811,"Worcester, MA",395238,57,2016-04,1207
2812,"Stamford, CT",394415,58,2016-04,2009
2813,"Albuquerque, NM",394312,59,2016-04,973
2814,"Albany, NY",394308,60,2016-04,1111
2815,"Omaha, NE",394938,61,2016-04,906
2816,"New Haven, CT",394908,62,2016-04,1370
2817,"Bakersfield, CA",394357,63,2016-04,1065
2818,"Knoxville, TN",394753,64,2016-04,987
2819,"Greenville, SC",394653,65,2016-04,1027
2820,"Ventura, CA",394952,66,2016-04,2125
2821,"Allentown, PA",394318,67,2016-04,1234
2822,"El Paso, TX",394561,68,2016-04,988
2823,"Baton Rouge, LA",394367,69,2016-04,1121
2824,"Dayton, OH",394521,70,2016-04,866
2825,"McAllen, TX",394843,71,2016-04,831
2826,"Columbia, SC",394486,72,2016-04,1000
2827,"Greensboro, NC",394648,73,2016-04,989
2828,"Akron, OH",394304,74,2016-04,849
2829,"North Port-Sarasota-Bradenton, FL",753906,75,2016-04,1402
2830,"Little Rock, AR",394798,76,2016-04,806
2831,"Stockton, CA",395134,77,2016-04,1602
2832,"Charleston, SC",394457,78,2016-04,1273
2833,"Syracuse, NY",395143,79,2016-04,1011
2834,"Colorado Springs, CO",394484,80,2016-04,1169
2835,"Winston-Salem, NC",395235,81,2016-04,1123
2836,"Wichita, KS",395224,82,2016-04,771
2837,"Springfield, MA",395115,83,2016-04,1310
2838,"Fort Myers, FL",394440,84,2016-04,1207
2839,"Boise City, ID",394399,85,2016-04,1074
2840,"Toledo, OH",395160,86,2016-04,869
2841,"Madison, WI",394816,87,2016-04,1101
2842,"Lakeland, FL",394766,88,2016-04,1125
2843,"Ogden, UT",394931,89,2016-04,1046
2844,"Daytona Beach, FL",394528,90,2016-04,1140
2845,"Des Moines, IA",394531,91,2016-04,1038
2846,"Jackson, MS",394711,92,2016-04,1140
2847,"Youngstown, OH",395245,93,2016-04,642
2848,"Augusta, GA",394352,94,2016-04,941
2849,"Scranton, PA",395075,95,2016-04,863
2850,"Harrisburg, PA",394666,96,2016-04,1000
2851,"Melbourne, FL",394957,97,2016-04,1104
2852,"Spokane, WA",395113,99,2016-04,984
2853,"Provo, UT",395006,100,2016-04,1125
2854,"Killeen, TX",394746,128,2016-04,885
2855,"College Station, TX",394483,192,2016-04,1352
2856,United States,102001,0,2016-05,1463
2857,"New York, NY",394913,1,2016-05,5153
2858,"Los Angeles-Long Beach-Anaheim, CA",753899,2,2016-05,2043
2859,"Chicago, IL",394463,3,2016-05,1512
2860,"Dallas-Fort Worth, TX",394514,4,2016-05,1249
2861,"Philadelphia, PA",394974,5,2016-05,1417
2862,"Houston, TX",394692,6,2016-05,1267
2863,"Washington, DC",395209,7,2016-05,1843
2864,"Miami-Fort Lauderdale, FL",394856,8,2016-05,1763
2865,"Atlanta, GA",394347,9,2016-05,1213
2866,"Boston, MA",394404,10,2016-05,2342
2867,"San Francisco, CA",395057,11,2016-05,2827
2868,"Detroit, MI",394532,12,2016-05,1037
2869,"Riverside, CA",395025,13,2016-05,1585
2870,"Phoenix, AZ",394976,14,2016-05,1087
2871,"Seattle, WA",395078,15,2016-05,1630
2872,"Minneapolis-St Paul, MN",394865,16,2016-05,1285
2873,"San Diego, CA",395056,17,2016-05,1960
2874,"St. Louis, MO",395121,18,2016-05,970
2875,"Tampa, FL",395148,19,2016-05,1237
2876,"Baltimore, MD",394358,20,2016-05,1495
2877,"Denver, CO",394530,21,2016-05,1483
2878,"Pittsburgh, PA",394982,22,2016-05,1074
2879,"Portland, OR",394998,23,2016-05,1401
2880,"Charlotte, NC",394458,24,2016-05,1187
2881,"Sacramento, CA",395045,25,2016-05,1475
2882,"San Antonio, TX",395055,26,2016-05,1044
2883,"Orlando, FL",394943,27,2016-05,1299
2884,"Cincinnati, OH",394466,28,2016-05,1022
2885,"Cleveland, OH",394475,29,2016-05,1010
2886,"Kansas City, MO",394735,30,2016-05,970
2887,"Las Vegas, NV",394775,31,2016-05,1097
2888,"Columbus, OH",394492,32,2016-05,1015
