Date,Unnamed: 0,RegionName,RegionID,SizeRank,value
2014/02/01,110,"Miami-Fort Lauderdale, FL",394856,8,1570.0
2014/02/01,111,"Atlanta, GA",394347,9,1082.0
2014/02/01,112,"Boston, MA",394404,10,2159.0
2014/02/01,113,"San Francisco, CA",395057,11,2188.0
2014/02/01,114,"Detroit, MI",394532,12,966.0
2014/02/01,115,"Riverside, CA",395025,13,1430.0
2014/02/01,116,"Phoenix, AZ",394976,14,962.0
2014/02/01,117,"Seattle, WA",395078,15,1372.0
2014/02/01,118,"Minneapolis-St Paul, MN",394865,16,1184.0
2014/02/01,119,"San Diego, CA",395056,17,1712.0
2014/02/01,120,"St. Louis, MO",395121,18,909.0
2014/02/01,121,"Tampa, FL",395148,19,1111.0
2014/02/01,122,"Baltimore, MD",394358,20,1439.0
2014/02/01,123,"Denver, CO",394530,21,1205.0
2014/02/01,124,"Pittsburgh, PA",394982,22,1010.0
2014/02/01,125,"Portland, OR",394998,23,1145.0
2014/02/01,126,"Charlotte, NC",394458,24,1063.0
2014/02/01,127,"Sacramento, CA",395045,25,1273.0
2014/02/01,128,"San Antonio, TX",395055,26,960.0
2014/02/01,129,"Orlando, FL",394943,27,1166.0
2014/02/01,130,"Cincinnati, OH",394466,28,935.0
2014/02/01,131,"Cleveland, OH",394475,29,925.0
2014/02/01,132,"Kansas City, MO",394735,30,887.0
2014/02/01,133,"Las Vegas, NV",394775,31,1007.0
2014/02/01,134,"Columbus, OH",394492,32,932.0
2014/02/01,135,"Indianapolis, IN",394705,33,956.0
2014/02/01,136,"San Jose, CA",395059,34,2197.0
2014/02/01,137,"Austin, TX",394355,35,1183.0
2014/02/01,138,"Virginia Beach, VA",395194,36,1151.0
2014/02/01,139,"Nashville, TN",394902,37,1131.0
2014/02/01,140,"Providence, RI",395005,38,1160.0
2014/02/01,141,"Milwaukee, WI",394862,39,940.0
2014/02/01,142,"Jacksonville, FL",394714,40,1074.0
2014/02/01,143,"Memphis, TN",394849,41,997.0
2014/02/01,144,"Oklahoma City, OK",394935,42,964.0
2014/02/01,145,"Louisville-Jefferson County, KY",394807,43,847.0
2014/02/01,146,"Hartford, CT",394669,44,1230.0
2014/02/01,147,"Richmond, VA",395022,45,1059.0
2014/02/01,148,"New Orleans, LA",394910,46,1080.0
2014/02/01,149,"Buffalo, NY",394425,47,789.0
2014/02/01,150,"Raleigh, NC",395012,48,1131.0
2014/02/01,151,"Birmingham, AL",394388,49,971.0
2014/02/01,152,"Salt Lake City, UT",395053,50,1025.0
2014/02/01,153,"Rochester, NY",395031,51,924.0
2014/02/01,154,"Grand Rapids, MI",394640,52,850.0
2014/02/01,155,"Tucson, AZ",395167,53,931.0
2014/02/01,156,"Urban Honolulu, HI",753924,54,1983.0
2014/02/01,157,"Tulsa, OK",395169,55,904.0
2014/02/01,158,"Fresno, CA",394619,56,1150.0
2014/02/01,159,"Worcester, MA",395238,57,1095.0
2014/02/01,160,"Stamford, CT",394415,58,1859.0
2014/02/01,161,"Albuquerque, NM",394312,59,926.0
2014/02/01,162,"Albany, NY",394308,60,1040.0
2014/02/01,163,"Omaha, NE",394938,61,827.0
2014/02/01,164,"New Haven, CT",394908,62,1278.0
2014/02/01,165,"Bakersfield, CA",394357,63,1005.0
2014/02/01,166,"Knoxville, TN",394753,64,931.0
2014/02/01,167,"Greenville, SC",394653,65,967.0
2014/02/01,168,"Ventura, CA",394952,66,1911.0
2014/02/01,169,"Allentown, PA",394318,67,1175.0
2014/02/01,170,"El Paso, TX",394561,68,979.0
2014/02/01,171,"Baton Rouge, LA",394367,69,1072.0
2014/02/01,172,"Dayton, OH",394521,70,808.0
2014/02/01,173,"McAllen, TX",394843,71,791.0
2014/02/01,174,"Columbia, SC",394486,72,952.0
2014/02/01,175,"Greensboro, NC",394648,73,953.0
2014/02/01,176,"Akron, OH",394304,74,784.0
2014/02/01,177,"North Port-Sarasota-Bradenton, FL",753906,75,1219.0
2014/02/01,178,"Little Rock, AR",394798,76,786.0
2014/02/01,179,"Stockton, CA",395134,77,1376.0
2014/02/01,180,"Charleston, SC",394457,78,1148.0
2014/02/01,181,"Syracuse, NY",395143,79,928.0
2014/02/01,182,"Colorado Springs, CO",394484,80,1038.0
2014/02/01,183,"Winston-Salem, NC",395235,81,1079.0
2014/02/01,184,"Wichita, KS",395224,82,731.0
2014/02/01,185,"Springfield, MA",395115,83,1226.0
2014/02/01,186,"Fort Myers, FL",394440,84,973.0
2014/02/01,187,"Boise City, ID",394399,85,951.0
2014/02/01,188,"Toledo, OH",395160,86,830.0
2014/02/01,189,"Madison, WI",394816,87,1028.0
2014/02/01,190,"Lakeland, FL",394766,88,1029.0
2014/02/01,191,"Ogden, UT",394931,89,952.0
2014/02/01,192,"Daytona Beach, FL",394528,90,992.0
2014/02/01,193,"Des Moines, IA",394531,91,998.0
2014/02/01,194,"Jackson, MS",394711,92,1087.0
2014/02/01,195,"Youngstown, OH",395245,93,619.0
2014/02/01,196,"Augusta, GA",394352,94,915.0
2014/02/01,197,"Scranton, PA",395075,95,835.0
2014/02/01,198,"Harrisburg, PA",394666,96,984.0
2014/02/01,199,"Melbourne, FL",394957,97,945.0
2014/02/01,200,"Spokane, WA",395113,99,939.0
2014/02/01,201,"Provo, UT",395006,100,1007.0
2014/02/01,202,"Killeen, TX",394746,128,861.0
2014/02/01,203,"College Station, TX",394483,192,1211.0
2014/03/01,204,United States,102001,0,1329.0
2014/03/01,205,"New York, NY",394913,1,4725.0
2014/03/01,206,"Los Angeles-Long Beach-Anaheim, CA",753899,2,1771.0
2014/03/01,207,"Chicago, IL",394463,3,1413.0
2014/03/01,208,"Dallas-Fort Worth, TX",394514,4,1135.0
2014/03/01,209,"Philadelphia, PA",394974,5,1336.0
2014/03/01,210,"Houston, TX",394692,6,1174.0
2014/03/01,211,"Washington, DC",395209,7,1777.0
2014/03/01,212,"Miami-Fort Lauderdale, FL",394856,8,1578.0
2014/03/01,213,"Atlanta, GA",394347,9,1085.0
2014/03/01,214,"Boston, MA",394404,10,2165.0
2014/03/01,215,"San Francisco, CA",395057,11,2221.0
2014/03/01,216,"Detroit, MI",394532,12,969.0
2014/03/01,217,"Riverside, CA",395025,13,1435.0
2014/03/01,218,"Phoenix, AZ",394976,14,965.0
2014/03/01,219,"Seattle, WA",395078,15,1382.0
2014/03/01,220,"Minneapolis-St Paul, MN",394865,16,1187.0
2014/03/01,221,"San Diego, CA",395056,17,1721.0
2014/03/01,222,"St. Louis, MO",395121,18,912.0
2014/03/01,223,"Tampa, FL",395148,19,1115.0
2014/03/01,224,"Baltimore, MD",394358,20,1443.0
2014/03/01,225,"Denver, CO",394530,21,1220.0
2014/03/01,226,"Pittsburgh, PA",394982,22,1015.0
2014/03/01,227,"Portland, OR",394998,23,1155.0
2014/03/01,228,"Charlotte, NC",394458,24,1067.0
2014/03/01,229,"Sacramento, CA",395045,25,1279.0
2014/03/01,230,"San Antonio, TX",395055,26,962.0
2014/03/01,231,"Orlando, FL",394943,27,1170.0
2014/03/01,232,"Cincinnati, OH",394466,28,938.0
2014/03/01,233,"Cleveland, OH",394475,29,928.0
2014/03/01,234,"Kansas City, MO",394735,30,891.0
2014/03/01,235,"Las Vegas, NV",394775,31,1010.0
2014/03/01,236,"Columbus, OH",394492,32,934.0
2014/03/01,237,"Indianapolis, IN",394705,33,958.0
2014/03/01,238,"San Jose, CA",395059,34,2233.0
2014/03/01,239,"Austin, TX",394355,35,1188.0
2014/03/01,240,"Virginia Beach, VA",395194,36,1153.0
2014/03/01,241,"Nashville, TN",394902,37,1139.0
2014/03/01,242,"Providence, RI",395005,38,1163.0
2014/03/01,243,"Milwaukee, WI",394862,39,945.0
2014/03/01,244,"Jacksonville, FL",394714,40,1076.0
2014/03/01,245,"Memphis, TN",394849,41,999.0
2014/03/01,246,"Oklahoma City, OK",394935,42,967.0
2014/03/01,247,"Louisville-Jefferson County, KY",394807,43,851.0
2014/03/01,248,"Hartford, CT",394669,44,1233.0
2014/03/01,249,"Richmond, VA",395022,45,1063.0
2014/03/01,250,"New Orleans, LA",394910,46,1082.0
2014/03/01,251,"Buffalo, NY",394425,47,794.0
2014/03/01,252,"Raleigh, NC",395012,48,1133.0
2014/03/01,253,"Birmingham, AL",394388,49,973.0
2014/03/01,254,"Salt Lake City, UT",395053,50,1028.0
2014/03/01,255,"Rochester, NY",395031,51,928.0
2014/03/01,256,"Grand Rapids, MI",394640,52,856.0
2014/03/01,257,"Tucson, AZ",395167,53,932.0
2014/03/01,258,"Urban Honolulu, HI",753924,54,1999.0
2014/03/01,259,"Tulsa, OK",395169,55,906.0
2014/03/01,260,"Fresno, CA",394619,56,1153.0
2014/03/01,261,"Worcester, MA",395238,57,1099.0
2014/03/01,262,"Stamford, CT",394415,58,1870.0
2014/03/01,263,"Albuquerque, NM",394312,59,927.0
2014/03/01,264,"Albany, NY",394308,60,1045.0
2014/03/01,265,"Omaha, NE",394938,61,831.0
2014/03/01,266,"New Haven, CT",394908,62,1284.0
2014/03/01,267,"Bakersfield, CA",394357,63,1008.0
2014/03/01,268,"Knoxville, TN",394753,64,933.0
2014/03/01,269,"Greenville, SC",394653,65,966.0
2014/03/01,270,"Ventura, CA",394952,66,1919.0
2014/03/01,271,"Allentown, PA",394318,67,1177.0
2014/03/01,272,"El Paso, TX",394561,68,980.0
2014/03/01,273,"Baton Rouge, LA",394367,69,1073.0
2014/03/01,274,"Dayton, OH",394521,70,810.0
2014/03/01,275,"McAllen, TX",394843,71,
2014/03/01,276,"Columbia, SC",394486,72,954.0
2014/03/01,277,"Greensboro, NC",394648,73,954.0
2014/03/01,278,"Akron, OH",394304,74,787.0
2014/03/01,279,"North Port-Sarasota-Bradenton, FL",753906,75,1228.0
2014/03/01,280,"Little Rock, AR",394798,76,787.0
2014/03/01,281,"Stockton, CA",395134,77,1382.0
2014/03/01,282,"Charleston, SC",394457,78,1153.0
2014/03/01,283,"Syracuse, NY",395143,79,932.0
2014/03/01,284,"Colorado Springs, CO",394484,80,1042.0
2014/03/01,285,"Winston-Salem, NC",395235,81,1079.0
2014/03/01,286,"Wichita, KS",395224,82,735.0
2014/03/01,287,"Springfield, MA",395115,83,1229.0
2014/03/01,288,"Fort Myers, FL",394440,84,981.0
2014/03/01,289,"Boise City, ID",394399,85,955.0
2014/03/01,290,"Toledo, OH",395160,86,831.0
2014/03/01,291,"Madison, WI",394816,87,1029.0
2014/03/01,292,"Lakeland, FL",394766,88,1032.0
2014/03/01,293,"Ogden, UT",394931,89,955.0
2014/03/01,294,"Daytona Beach, FL",394528,90,997.0
2014/03/01,295,"Des Moines, IA",394531,91,1002.0
2014/03/01,296,"Jackson, MS",394711,92,1089.0
2014/03/01,297,"Youngstown, OH",395245,93,620.0
2014/03/01,298,"Augusta, GA",394352,94,914.0
2014/03/01,299,"Scranton, PA",395075,95,836.0
2014/03/01,300,"Harrisburg, PA",394666,96,981.0
2014/03/01,301,"Melbourne, FL",394957,97,949.0
2014/03/01,302,"Spokane, WA",395113,99,935.0
2014/03/01,303,"Provo, UT",395006,100,1012.0
2014/03/01,304,"Killeen, TX",394746,128,862.0
2014/03/01,305,"College Station, TX",394483,192,1217.0
2014/04/01,306,United States,102001,0,1334.0
2014/04/01,307,"New York, NY",394913,1,4746.0
2014/04/01,308,"Los Angeles-Long Beach-Anaheim, CA",753899,2,1782.0
2014/04/01,309,"Chicago, IL",394463,3,1416.0
2014/04/01,310,"Dallas-Fort Worth, TX",394514,4,1138.0
2014/04/01,311,"Philadelphia, PA",394974,5,1339.0
2014/04/01,312,"Houston, TX",394692,6,1181.0
2014/04/01,313,"Washington, DC",395209,7,1780.0
2014/04/01,314,"Miami-Fort Lauderdale, FL",394856,8,1586.0
2014/04/01,315,"Atlanta, GA",394347,9,1089.0
2014/04/01,316,"Boston, MA",394404,10,2171.0
2014/04/01,317,"San Francisco, CA",395057,11,2254.0
2014/04/01,318,"Detroit, MI",394532,12,971.0
2014/04/01,319,"Riverside, CA",395025,13,1440.0
2014/04/01,320,"Phoenix, AZ",394976,14,969.0
2014/04/01,321,"Seattle, WA",395078,15,1392.0
2014/04/01,322,"Minneapolis-St Paul, MN",394865,16,1190.0
2014/04/01,323,"San Diego, CA",395056,17,1731.0
2014/04/01,324,"St. Louis, MO",395121,18,915.0
2014/04/01,325,"Tampa, FL",395148,19,1118.0
2014/04/01,326,"Baltimore, MD",394358,20,1446.0
2014/04/01,327,"Denver, CO",394530,21,1235.0
2014/04/01,328,"Pittsburgh, PA",394982,22,1020.0
2014/04/01,329,"Portland, OR",394998,23,1164.0
2014/04/01,330,"Charlotte, NC",394458,24,1071.0
2014/04/01,331,"Sacramento, CA",395045,25,1284.0
2014/04/01,332,"San Antonio, TX",395055,26,965.0
2014/04/01,333,"Orlando, FL",394943,27,1175.0
2014/04/01,334,"Cincinnati, OH",394466,28,942.0
2014/04/01,335,"Cleveland, OH",394475,29,931.0
2014/04/01,336,"Kansas City, MO",394735,30,894.0
2014/04/01,337,"Las Vegas, NV",394775,31,1012.0
2014/04/01,338,"Columbus, OH",394492,32,936.0
2014/04/01,339,"Indianapolis, IN",394705,33,960.0
2014/04/01,340,"San Jose, CA",395059,34,2268.0
2014/04/01,341,"Austin, TX",394355,35,1194.0
2014/04/01,342,"Virginia Beach, VA",395194,36,1155.0
2014/04/01,343,"Nashville, TN",394902,37,1147.0
2014/04/01,344,"Providence, RI",395005,38,1166.0
2014/04/01,345,"Milwaukee, WI",394862,39,950.0
2014/04/01,346,"Jacksonville, FL",394714,40,1078.0
2014/04/01,347,"Memphis, TN",394849,41,1002.0
2014/04/01,348,"Oklahoma City, OK",394935,42,970.0
2014/04/01,349,"Louisville-Jefferson County, KY",394807,43,855.0
2014/04/01,350,"Hartford, CT",394669,44,1236.0
2014/04/01,351,"Richmond, VA",395022,45,1067.0
2014/04/01,352,"New Orleans, LA",394910,46,1083.0
2014/04/01,353,"Buffalo, NY",394425,47,798.0
2014/04/01,354,"Raleigh, NC",395012,48,1136.0
2014/04/01,355,"Birmingham, AL",394388,49,975.0
2014/04/01,356,"Salt Lake City, UT",395053,50,1032.0
2014/04/01,357,"Rochester, NY",395031,51,932.0
2014/04/01,358,"Grand Rapids, MI",394640,52,863.0
2014/04/01,359,"Tucson, AZ",395167,53,933.0
2014/04/01,360,"Urban Honolulu, HI",753924,54,2015.0
2014/04/01,361,"Tulsa, OK",395169,55,908.0
2014/04/01,362,"Fresno, CA",394619,56,1156.0
2014/04/01,363,"Worcester, MA",395238,57,1103.0
2014/04/01,364,"Stamford, CT",394415,58,1881.0
2014/04/01,365,"Albuquerque, NM",394312,59,928.0
